epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,12618.4,inf,2.08699,0.88607,0.77247,0.89276,0.97032,0.97032,inf,0.5258,0.17707,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12765.7,0.06717,2.0812,0.88408,0.77705,0.89286,0.97058,0.97058,inf,0.51947,0.17684,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12916.7,0.06709,2.08527,0.88546,0.78132,0.89255,0.97075,0.97075,inf,0.5116,0.17647,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13072.2,0.03513,0.14359,0.86792,0.78376,0.89297,0.97092,0.97092,0.03823,0.50345,0.17614,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13230.3,0.03115,0.12143,0.86917,0.78453,0.89382,0.97092,0.97092,inf,0.49564,0.17595,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13386.6,inf,0.11121,0.86972,0.78805,0.89282,0.97092,0.97092,inf,0.48766,0.17573,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13546,0.02757,0.10549,0.87065,0.79425,0.88936,0.97135,0.97135,0.03766,0.47956,0.17541,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13707.4,0.02657,0.10092,0.86851,0.79853,0.88933,0.97117,0.97117,inf,0.4719,0.17515,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13863.7,0.02561,0.09649,0.86984,0.81342,0.88186,0.97143,0.97143,inf,0.46473,0.17472,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14023.8,0.02461,0.09132,0.86867,0.81333,0.88425,0.97143,0.97143,inf,0.45623,0.17415,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14177,inf,0.08462,0.86973,0.82094,0.88299,0.97169,0.97169,inf,0.44814,0.17356,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14326.2,0.02257,0.08313,0.86834,0.82288,0.88407,0.97203,0.97203,inf,0.44116,0.1731,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14473.5,0.02167,0.08077,0.87154,0.82024,0.88839,0.97229,0.97229,0.03452,0.4333,0.17265,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
